클러스터별 평균 상관계수:
Cluster 2: 0.8686
Cluster 6: 0.8773
Cluster 0: 0.8784
Cluster 4: 0.8925
Cluster 3: 0.9012
Cluster 7: 0.9017

enbid_pci,cluster,accuracy,category
37065_166,4,0.9009755623813052,매우 좋음
34802_231,4,0.9048349906369919,매우 좋음
42228_18,4,0.9051579982472127,매우 좋음
34762_93,4,0.9053552096470403,매우 좋음
37067_327,4,0.9060165276821881,매우 좋음
35920_211,4,0.9065273139976937,매우 좋음
37103_192,4,0.9089823678696587,매우 좋음
35694_174,4,0.9102662208054044,매우 좋음
34771_86,4,0.9107796199266353,매우 좋음
37066_164,4,0.913576010216619,매우 좋음
34490_13,4,0.9152157373396469,매우 좋음
34775_115,4,0.9173737260320103,매우 좋음
36481_167,4,0.9208099727681498,매우 좋음
37065_390,4,0.9228477468288755,매우 좋음
34760_90,4,0.9246802458959517,매우 좋음
33011_348,4,0.9268342570340552,매우 좋음
33433_21,4,0.9282363545836153,매우 좋음
37092_340,4,0.930889522087798,매우 좋음
37052_147,4,0.9314036309380958,매우 좋음
37929_70,4,0.932016482283752,매우 좋음
35692_11,4,0.9335990957007128,매우 좋음
34342_156,4,0.9351769272218582,매우 좋음
46458_213,4,0.9354447079177712,매우 좋음
34761_99,4,0.9369355275503434,매우 좋음
37106_402,4,0.9382564482514559,매우 좋음
34800_309,4,0.9389777043104298,매우 좋음
34784_321,4,0.9415641765329147,매우 좋음
37097_377,4,0.9422590564202411,매우 좋음
35720_122,4,0.9423118291923295,매우 좋음
35723_315,4,0.9424240274268463,매우 좋음
35703_429,4,0.9424511284762997,매우 좋음
34133_121,4,0.9441481362638142,매우 좋음
33433_237,4,0.9446134531829811,매우 좋음
35726_206,4,0.945012306267502,매우 좋음
34784_203,4,0.9467318729499565,매우 좋음
34793_206,4,0.9474495825912528,매우 좋음
34555_103,4,0.9487269385669864,매우 좋음
34682_130,4,0.9492466286763577,매우 좋음
37859_196,4,0.9510175505095713,매우 좋음
60193_29,4,0.9537549951199242,매우 좋음
34333_421,4,0.9568413292110669,매우 좋음
34559_292,4,0.9577190308690109,매우 좋음
36472_34,4,0.95869697017017,매우 좋음
33907_79,4,0.9587043627479952,매우 좋음
34763_147,4,0.9589103481855306,매우 좋음
37109_168,4,0.9596626360701391,매우 좋음
37099_85,4,0.965115512651499,매우 좋음
36127_228,4,0.9652535369905774,매우 좋음
37084_83,4,0.9655073887664025,매우 좋음
37083_116,4,0.970323887448874,매우 좋음
34486_9,4,0.9704801256719386,매우 좋음
33475_31,4,0.9709958156111402,매우 좋음
42922_26,4,0.9727341390227507,매우 좋음
37109_116,6,0.5810063898052512,개선 필요
34802_193,6,0.5931585279330188,개선 필요
37809_399,6,0.6354243968312828,허용 가능
33434_37,6,0.6958264902574021,허용 가능
36431_244,6,0.7067443970981158,좋음
37108_245,6,0.7147906586611827,좋음
40155_134,6,0.7370366851421966,좋음
36475_81,6,0.7557767216105031,좋음
37057_359,6,0.7575151241504507,좋음
37093_198,6,0.7783218553162464,좋음
37057_12,6,0.7808024780374763,좋음
37066_169,6,0.7839170190388466,좋음
40438_424,6,0.8253708216396314,매우 좋음
36206_259,6,0.8280543812785344,매우 좋음
34772_165,6,0.8335859094226918,매우 좋음
37081_271,6,0.8359941573291201,매우 좋음
37060_280,6,0.8374164048138825,매우 좋음
37064_154,6,0.842172662786443,매우 좋음
37092_456,6,0.8479657724045159,매우 좋음
37080_288,6,0.8495195741996402,매우 좋음
37064_302,6,0.8501159201201773,매우 좋음
37060_200,6,0.8514552280772218,매우 좋음
33909_155,6,0.8523641487256377,매우 좋음
36474_113,6,0.8534922156558187,매우 좋음
37110_55,6,0.8542505051129718,매우 좋음
34806_221,6,0.8553980647300734,매우 좋음
34802_175,6,0.8587987202444689,매우 좋음
37061_172,6,0.8590758748576253,매우 좋음
34806_220,6,0.8663055354460062,매우 좋음
37812_239,6,0.8677008928750909,매우 좋음
37107_386,6,0.8689103377827982,매우 좋음
35694_204,6,0.8705105241034097,매우 좋음
36431_458,6,0.8749896429354971,매우 좋음
34806_230,6,0.8809057477044104,매우 좋음
34556_333,6,0.8827948984964273,매우 좋음
37100_179,6,0.8842293236781142,매우 좋음
